NO2,O3,PM10,PM2.5,wind_speed,temperature,solar_radiation,humidity
3.6,100.0,12.2,9.7,5.97,16.8,370.0,52
4.0,94.0,11.6,8.4,5.59,15.6,233.0,61
3.7,89.0,9.6,6.0,5.22,14.1,113.0,70
3.9,85.0,9.4,6.0,5.11,12.7,19.0,77
3.9,81.0,9.9,6.7,5.05,11.8,0.0,82
3.9,79.0,11.0,7.4,5.21,10.9,0.0,86
3.1,76.0,10.3,7.3,5.16,10.2,0.0,90
2.7,73.0,9.9,7.1,5.31,10.1,0.0,91
2.2,71.0,9.3,6.6,5.68,9.9,0.0,92
2.2,69.0,8.8,6.3,5.49,10.1,0.0,94
2.1,67.0,8.0,5.8,5.52,9.8,0.0,95
2.1,66.0,7.1,4.9,5.46,9.9,0.0,93
2.3,66.0,6.0,4.2,5.57,9.9,1.0,89
2.8,69.0,4.9,3.5,5.73,10.1,36.0,83
3.5,74.0,4.5,3.2,4.77,10.6,136.0,79
3.1,75.0,4.4,3.3,5.1,11.8,316.0,73
2.8,82.0,4.3,3.0,5.3,12.9,458.0,66
2.4,85.0,4.2,2.8,5.05,14.0,581.0,60
2.3,87.0,4.0,2.5,4.87,14.9,676.0,56
2.2,89.0,3.9,2.4,4.68,15.7,732.0,53
2.3,92.0,4.0,2.3,4.74,16.3,741.0,52
2.6,90.0,4.1,2.3,4.75,16.8,713.0,47
3.0,87.0,4.0,2.3,4.93,16.8,639.0,47
3.3,84.0,3.8,2.4,5.14,16.5,532.0,50
3.0,83.0,3.6,2.4,5.23,15.9,397.0,57
3.2,79.0,3.4,2.4,4.83,15.1,257.0,63
3.6,76.0,3.7,2.7,4.27,13.9,116.0,70
3.2,73.0,3.8,2.9,3.87,12.6,21.0,77
3.1,68.0,4.4,3.4,4.03,11.9,0.0,82
2.9,68.0,4.9,3.9,4.34,11.6,0.0,86
2.5,70.0,5.3,4.3,4.67,10.6,0.0,91
2.4,69.0,6.1,4.8,4.86,9.8,0.0,93
2.6,66.0,6.2,4.6,4.94,9.5,0.0,94
2.4,67.0,6.2,4.9,4.65,9.8,0.0,93
2.5,67.0,6.4,5.0,4.49,9.8,0.0,92
2.7,67.0,6.4,5.6,4.0,9.6,0.0,93
3.1,65.0,7.9,6.9,3.86,9.4,2.0,94
4.5,67.0,9.6,8.2,3.91,9.9,36.0,93
5.4,68.0,12.1,9.3,3.15,10.9,108.0,90
6.2,67.0,13.3,9.5,4.0,12.2,214.0,84
5.6,69.0,13.2,8.4,3.99,13.8,341.0,79
4.8,73.0,11.9,9.8,4.0,15.4,482.0,73
3.8,84.0,13.7,11.0,4.58,16.9,660.0,66
3.1,94.0,16.5,13.8,4.61,17.8,701.0,61
2.8,102.0,17.2,14.3,4.99,18.7,741.0,55
2.5,105.0,16.2,11.7,5.6,19.2,683.0,52
2.7,103.0,13.3,9.4,5.62,18.7,481.0,53
2.9,102.0,12.6,8.9,5.72,18.8,486.0,54
3.5,104.0,13.7,11.0,5.03,18.4,374.0,56
4.0,103.0,15.0,11.7,4.23,17.5,251.0,60
4.7,99.0,17.3,14.0,2.98,16.0,103.0,69
5.6,92.0,17.9,14.9,2.22,14.4,19.0,77
7.2,83.0,18.5,15.6,2.38,13.1,0.0,81
7.6,72.0,18.4,16.3,2.59,11.7,0.0,86
7.1,66.0,19.1,16.5,1.96,10.5,0.0,91
6.8,63.0,19.3,17.3,1.7,9.6,0.0,93
6.1,63.0,18.4,15.6,1.66,9.0,0.0,94
6.5,63.0,18.4,15.2,2.02,8.4,0.0,95
6.3,64.0,17.5,14.4,2.15,8.1,0.0,95
6.5,61.0,17.7,15.1,2.44,7.8,0.0,95
6.9,57.0,16.7,13.8,2.67,7.8,3.0,95
10.4,50.0,17.4,13.7,2.85,8.8,64.0,92
10.3,58.0,18.3,15.8,2.42,10.6,183.0,89
9.3,57.0,20.5,16.6,2.43,12.7,306.0,82
8.9,65.0,20.8,16.9,2.97,14.9,462.0,73
6.9,72.0,19.4,15.8,3.32,16.2,568.0,68
5.9,75.0,16.4,14.6,3.54,17.5,664.0,63
4.9,84.0,14.3,12.9,3.69,18.2,726.0,61
4.5,85.0,11.4,10.2,3.76,18.9,755.0,61
3.9,90.0,10.4,7.0,3.83,19.2,722.0,60
3.5,91.0,9.9,6.6,3.95,19.2,646.0,61
3.6,90.0,8.0,5.7,3.95,19.1,523.0,64
4.4,88.0,8.4,5.5,3.66,18.5,391.0,70
4.7,86.0,8.5,5.1,3.32,17.9,266.0,76
4.9,84.0,8.0,5.4,3.55,17.1,127.0,78
6.0,82.0,8.6,6.2,3.91,16.5,21.0,78
5.9,82.0,9.4,6.4,4.37,15.6,0.0,82
6.2,81.0,10.9,7.9,4.55,15.2,0.0,80
7.1,79.0,14.5,11.1,4.29,14.4,0.0,81
7.4,81.0,14.5,11.7,3.85,13.4,0.0,84
4.5,92.0,16.1,13.5,3.79,12.4,0.0,81
4.4,87.0,17.7,15.0,4.03,11.6,0.0,80
3.9,84.0,23.2,19.6,4.1,10.9,0.0,80
3.4,90.0,24.0,22.0,4.1,10.6,0.0,80
4.2,87.0,25.8,22.7,4.33,10.5,3.0,81
5.5,90.0,27.7,23.8,4.24,11.0,48.0,82
6.5,89.0,27.7,22.7,4.11,11.8,126.0,82
5.4,89.0,15.7,14.8,4.56,10.8,101.0,90
3.7,92.0,8.2,7.6,4.58,11.7,160.0,85
2.6,87.0,3.9,2.6,5.37,13.4,462.0,70
1.7,83.0,4.2,2.7,5.82,14.1,590.0,64
1.7,83.0,3.6,2.6,6.04,14.6,735.0,54
1.6,84.0,4.6,2.5,6.36,14.8,773.0,48
1.8,86.0,4.8,2.4,5.88,14.9,744.0,46
2.0,84.0,5.4,2.4,6.44,14.8,665.0,46
1.9,82.0,6.2,2.8,6.8,14.0,524.0,48
2.0,79.0,6.6,3.1,6.69,13.0,387.0,50
1.9,80.0,6.9,3.3,6.31,11.9,261.0,55
1.8,78.0,7.5,3.6,5.95,10.9,119.0,59
2.0,76.0,8.2,4.0,5.71,9.9,27.0,65
2.1,75.0,7.6,4.2,5.51,9.4,0.0,69
2.0,74.0,8.2,4.3,5.36,8.6,0.0,77
1.9,72.0,8.6,4.2,5.22,8.0,0.0,81
1.7,70.0,8.5,4.0,5.02,7.8,0.0,82
1.7,69.0,8.9,3.9,5.11,7.7,0.0,83
1.6,68.0,8.8,3.8,4.96,7.4,0.0,83
1.6,67.0,8.4,3.8,4.66,7.6,0.0,83
1.7,66.0,8.4,3.8,4.45,7.4,0.0,86
1.9,65.0,7.6,3.9,4.18,7.3,4.0,88
1.9,65.0,8.2,4.1,4.5,8.2,60.0,85
1.7,67.0,7.8,3.9,5.89,9.3,130.0,79
1.5,68.0,7.0,3.3,6.03,10.4,244.0,70
1.5,71.0,6.1,3.1,5.9,11.1,334.0,67
1.8,73.0,5.1,3.1,5.85,11.8,371.0,63
1.9,75.0,4.8,2.9,5.68,11.5,280.0,67
1.9,75.0,4.3,2.8,5.46,11.6,363.0,69
1.7,76.0,3.8,2.5,5.83,11.1,253.0,77
1.8,75.0,3.5,2.2,4.95,9.9,124.0,83
2.2,73.0,3.0,2.0,5.33,9.5,125.0,85
2.6,73.0,2.9,1.9,4.36,8.9,77.0,92
2.6,77.0,3.0,2.6,3.1,8.4,52.0,93
2.6,75.0,4.6,3.7,3.21,8.6,85.0,89
2.5,75.0,7.0,4.2,3.78,8.0,34.0,89
2.8,77.0,7.1,4.4,4.5,7.6,12.0,90
2.7,72.0,8.1,3.9,4.0,6.7,0.0,89
2.7,69.0,8.3,3.7,3.75,5.9,0.0,91
2.5,67.0,7.1,3.8,3.9,5.3,0.0,93
2.5,66.0,6.4,3.0,3.87,5.0,0.0,93
2.5,66.0,6.1,2.7,3.75,4.8,0.0,93
2.8,63.0,6.4,2.9,4.39,5.1,0.0,93
2.9,62.0,7.4,3.6,4.65,5.3,0.0,94
3.1,59.0,5.9,3.8,4.45,5.4,0.0,95
3.3,55.0,5.2,3.6,5.04,5.7,5.0,94
3.7,56.0,5.1,3.7,5.66,6.2,63.0,91
3.3,64.0,3.8,2.3,6.17,7.9,150.0,84
2.0,76.0,3.8,2.6,6.97,8.9,287.0,71
1.4,82.0,4.3,2.6,7.01,9.8,452.0,64
1.1,83.0,4.4,2.3,6.63,10.1,543.0,61
1.0,85.0,4.3,2.3,6.25,10.4,636.0,60
0.9,85.0,4.4,2.2,5.79,10.3,687.0,56
0.9,84.0,4.5,1.9,6.35,10.4,742.0,55
0.9,86.0,4.3,1.8,5.87,10.0,667.0,51
1.0,88.0,4.2,1.9,5.99,9.6,579.0,50
1.0,92.0,4.1,1.9,6.2,9.2,514.0,44
1.1,93.0,4.1,1.9,5.62,9.4,367.0,37
1.4,90.0,4.1,2.0,5.95,8.9,265.0,42
1.5,85.0,4.0,2.0,4.59,8.1,142.0,51
1.9,80.0,4.0,2.1,4.18,7.2,32.0,57
3.0,78.0,4.1,2.3,3.66,6.4,0.0,60
3.7,72.0,4.2,2.5,3.63,5.8,0.0,62
4.0,69.0,4.2,2.5,3.34,5.4,0.0,65
4.3,69.0,4.0,2.6,3.08,5.1,0.0,67
5.1,62.0,3.9,2.7,2.85,4.7,0.0,66
4.9,66.0,3.9,2.6,2.55,3.8,0.0,71
5.5,66.0,3.9,2.6,2.25,3.5,0.0,73
5.8,58.0,3.8,2.6,2.19,2.8,0.0,76
6.6,49.0,4.2,2.9,3.36,2.0,6.0,78
8.3,44.0,4.6,3.5,3.11,3.2,83.0,73
9.2,51.0,5.0,3.8,2.09,5.8,217.0,71
7.4,60.0,4.5,3.2,1.07,8.2,368.0,60
5.1,82.0,4.1,2.7,1.32,9.7,511.0,46
3.7,84.0,4.0,2.5,1.76,10.7,634.0,42
3.3,87.0,3.8,2.5,1.96,11.6,726.0,38
2.6,87.0,3.9,2.9,2.17,12.2,779.0,38
2.2,89.0,3.7,2.8,2.62,13.2,772.0,35
2.7,91.0,3.7,2.9,2.56,13.5,701.0,35
2.7,94.0,3.9,2.7,2.38,14.4,596.0,31
